x,y
19387,4
19391,12
19403,14
19417,4
19421,2
19423,4
19427,2
19429,4
19433,8
19441,6
19447,10
19457,6
19463,6
19469,2
19471,6
19477,6
19483,6
19489,12
19501,6
19507,24
19531,10
19541,2
19543,10
19553,6
19559,12
19571,6
19577,6
19583,14
19597,6
19603,6
19609,52
19661,20
19681,6
19687,10
19697,2
19699,10
19709,8
19717,10
19727,12
19739,12
19751,2
19753,6
19759,4
19763,14
19777,16
19793,8
19801,12
19813,6
19819,22
19841,2
19843,10
19853,8
19861,6
19867,22
19889,2
19891,22
19913,6
19919,8
19927,10
19937,12
19949,12
19961,2
19963,10
19973,6
19979,12
19991,2
19993,4
19997,14
20011,10
20021,2
20023,6
20029,18
20047,4
20051,12
20063,8
20071,18
20089,12
20101,6
20107,6
20113,4
20117,6
20123,6
20129,14
20143,4
20147,2
20149,12
20161,12
20173,4
20177,6
20183,18
20201,18
20219,12
20231,2
20233,16
20249,12
20261,8
20269,18
20287,10
20297,26
20323,4
20327,6
20333,8
20341,6
20347,6
20353,4
20357,2
20359,10
20369,20
20389,4
20393,6
20399,8
20407,4
20411,20
20431,10
20441,2
20443,34
20477,2
20479,4
20483,24
20507,2
20509,12
20521,12
20533,10
20543,6
20549,2
20551,12
20563,30
20593,6
20599,12
20611,16
20627,12
20639,2
20641,22
20663,18
20681,12
20693,14
20707,10
20717,2
20719,12
20731,12
20743,4
20747,2
20749,4
20753,6
20759,12
20771,2
20773,16
20789,18
20807,2
20809,40
20849,8
20857,16
20873,6
20879,8
20887,10
20897,2
20899,4
20903,18
20921,8
20929,10
20939,8
20947,12
20959,4
20963,18
20981,2
20983,18
21001,10
21011,2
21013,4
21017,2
21019,4
21023,8
21031,28
21059,2
21061,6
21067,22
21089,12
21101,6
21107,14
21121,18
21139,4
21143,6
21149,8
21157,6
21163,6
21169,10
21179,8
21187,4
21191,2
21193,18
21211,10
21221,6
21227,20
21247,22
21269,8
21277,6
21283,30
21313,4
21317,2
21319,4
21323,18
21341,6
21347,30
21377,2
21379,4
21383,8
21391,6
21397,4
21401,6
21407,12
21419,14
21433,34
21467,14
21481,6
21487,4
21491,2
21493,6
21499,4
21503,14
21517,4
21521,2
21523,6
21529,28
21557,2
21559,4
21563,6
21569,8
21577,10
21587,2
21589,10
21599,2
21601,10
21611,2
21613,4
21617,30
21647,2
21649,12
21661,12
21673,10
21683,18
21701,12
21713,14
21727,10
21737,2
21739,12
21751,6
21757,10
21767,6
21773,14
21787,12
21799,4
21803,14
21817,4
21821,18
21839,2
21841,10
21851,8
21859,4
21863,8
21871,10
21881,12
21893,18
21911,18
21929,8
21937,6
21943,18
21961,16
21977,14
21991,6
21997,6
